Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
match_score2;smith_waterman.c;8;0.9140102863311768;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.6642186641693115;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.2216713428497314;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;2.9690401554107666;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;3.3399405479431152;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.0783302783966064;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.1967833042144775;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;1.9413816928863525;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;2.0431888103485107;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;2.966520309448242;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;3.556833267211914;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.9725186824798584;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.3397932052612305;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;3.2026419639587402;0-6;Double bit-flip;1
i2;smith_waterman.c;168;0.6700589656829834;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;2.533475875854492;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.1054246425628662;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.6958141326904297;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;4.07579231262207;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;2.2438509464263916;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;4.350237131118774;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.8096051216125488;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;4.481151580810547;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;2.6000263690948486;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.991084098815918;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;2.098254442214966;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;0.6856276988983154;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;2.6293041706085205;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;3.6085317134857178;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;5.142254590988159;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.561722993850708;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;0.8481597900390625;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;2.461193561553955;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.2977478504180908;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.0237770080566406;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;2.1933109760284424;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.1244184970855713;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.101125955581665;0-6;Double bit-flip;1
