Faults Injected:;48

Fault Effect;#Effect;PVF
Masked;28;0.5833333333333334
SDCs;6;0.125
Crashes;5;0.10416666666666667
Hangs;9;0.1875


Detected SDCs:;6
SDC Coverage (%):;100.0

FaultModels SDCs:
FaultModel ;#SDCs;percentage
Double bit-flip;4;66.66666666666666
Random bit-flip;2;33.33333333333333

FaultModels Detected SDCs:
FaultModel ;#SDCs Detected; percentage
Double bit-flip;4;66.66666666666666
Random bit-flip;2;33.33333333333333

FaultModels Crashes:
FaultModel ;#Crashes;percentage
Random bit-flip;3;60.0
Single bit-flip;2;40.0

FaultModels Hangs:
FaultModel ;#Hangs;percentage
Double bit-flip;4;44.44444444444444
Single bit-flip;4;44.44444444444444
Random bit-flip;1;11.11111111111111

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
100.0;4;4;mismatch_score2;smith_waterman.c;10
100.0;1;1;gap_score2;smith_waterman.c;12
100.0;1;1;match_score2;smith_waterman.c;8

Variables that caused Detected SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
100.0;4;4;mismatch_score2;smith_waterman.c;10
100.0;1;1;gap_score2;smith_waterman.c;12
100.0;1;1;match_score2;smith_waterman.c;8

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
100.0;2;2;y_num;smith_waterman.c;82
100.0;1;1;i;smith_waterman.c;86
100.0;1;1;matrix;smith_waterman.c;84
100.0;1;1;_dl_skip_args;rtld.c;84

Variables that caused Hang:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
100.0;6;6;mismatch_score;smith_waterman.c;9
100.0;2;2;gap_score;smith_waterman.c;11
100.0;1;1;match_score;smith_waterman.c;7
